text,pattern category
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,urgency
"Trey in Columbia, United States purchased Leather Cord Capsule",social_proof
Refuse ₹200 off? Click 'Reject offer'.,confirmshaming
Boys Grey School Uniforms,none
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",social_proof
View All Apartment,none
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",social_proof
"Free for first month, then ₹249 monthly auto-pay.",forced_continuity
Thanks! -RMO Team,none
 Please try again ,none
Only 15 left in stock,scarcity
Medium GreyLogan T-Shirt Jersey Comforter and Sham Set,none
 Menu Search ,none
We have 1 left at this price,fake_scarcity
ONLY 1 LEFT IN STOCK,scarcity
-90% discount if you order within 9:55:44,urgency
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",urgency
Read full description,none
Last 2 items – will go quickly.,fake_scarcity
Clear filter,none
What could have caused this?,none
Deal expires in: 03 hrs 25 mins 22 sec,urgency
1626 people seeing this product right now,social_proof
 School Shoes,none
"No Thanks, I prefer not to have a protection plan",misdirection
 Tracksuit,none
Glasses and Goggles,none
Offer Ends in 9d:8h:19m,fake_urgency
Subscription renews monthly by default.,forced_continuity
3 people are looking at this item right now,social_proof
Purchased 6 times this week.,social_proof
Choose which store you would like to visit,none
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,social_proof
"NO, I DON'T FEEL LUCKY",misdirection
"Someone in Tornado, United States just bought Fresh Melon Menthol 2 hours ago",social_proof
A maximum of 10% of the contest entry fee can be paid using Cash Bonus.,none
Apply Offers for Maximum Savings,none
Only 4 left in stock,scarcity
Order in 13:16 to get $200 off your mattress,urgency
Your order is reserved for 29:52 minutes!,urgency
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,urgency
10 Left,scarcity
ONLY 3 LEFT,scarcity
Delivery & support,none
 Shop By Shape ,none
"We use cookies to improve our services, make personal offers, and enhance your experience. If you do not accept optional cookies below, your experience may be affected. If you want to know more, please, read the Cookie Policy",none
The Wizard of Oz,none
If I emailed you how much I love each jersey you’d have an essay coming your way!,none
"CANCELLATION POLICY: If you are not completely satisfied with Yogi Surprise, you can cancel your membership and discontinue your monthly payments at any time. In order to cancel before you are renewed for the next shipment, you need to contact Yogi Surprise prior to the renewal date on the 14th of each month. Email: support@yogisurprise.com and we’ll respond promptly. If your membership has already renewed and you’d like to cancel an upcoming shipment, you must request cancellation by the 3rd of the month to be eligible for a refund. IF YOU DO NOT CANCEL PRIOR TO THE THIRD DAY OF A CALENDAR MONTH, YOU CANNOT BE REFUNDED FOR THAT MONTH’S SHIPMENT. WE DO NOT OFFER REFUNDS ON BOXES THAT HAVE ALREADY BEEN SHIPPED. To request cancellation, simply click here and submit the contact form or email us: support@yogisurprise.com. We’ll get back to promptly!",obstruction
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,urgency
"No, I will book without trip secure.",confirmshaming
Homeware Trends,none
Recent searches,none
Age verification required to view profile,none
Only 11 Left In Stock,scarcity
 Color Yellow Smoke Blue Pink Orange,none
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",social_proof
Refuse 25% off? Confirm cancellation of discount.,confirmshaming
QUICK! ONLY 1 LEFT IN STOCK,scarcity
"Add ₹100, Get ₹100 Cash Bonus!",fake_urgency
4 SEATS LEFT,scarcity
Professional Color Tool Kit / Addons,misdirection
ONLY 4 LEFT!,scarcity
Yes! Upgrade my purchase,misdirection
156 sold in last 24 hours,social_proof
The page you were looking for doesn't exist.,none
Men's Accessories ,none
HURRY ONLY 9 LEFT IN STOCK!,scarcity
Fly-tastic Deal for You,none
Specs,none
Hurry up! Discount Ends in DAYS HRS MINS SECS,urgency
"NO, I'LL PAY FULL PRICE",misdirection
"3,081 people have viewed this item",social_proof
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,urgency
MOST POPULAR,social_proof
Read More ,none
228 People Have Viewed This Product Recently!,social_proof
Skip the ₹1000 cashback? Confirm your choice.,confirmshaming
Cleaning Brushes & Tools,none
 EDC-V Megalodon Bottle Opener - Brass (Exclusive),none
Drawstring Backpacks,none
selected language日本語currencyJPY,none
Email notifications enabled by default. You are now subscribed to marketing.,hidden_subscription
• State-by-State Restrictions,none
You have no items in your basket.,none
Deal closes in 0:00:30 – hurry!,fake_urgency
Only 1 left In Stock,scarcity
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",social_proof
Interactive Tent Finder,none
Awntech New Yorker Window/Entry Slope Awnin ...,none
"After trying several other shades of red, I’ve tried this one and just love it. It is the perfect shade of brown with beautiful red highlights, very rich color, and very beautiful.",none
Hurry! Only 6 left in stock.,scarcity
People also buy this with,misdirection
 Cases for Magsafe Refine by Product Type: Cases for Magsafe ,none
Flat 50% off,none
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully,none
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,urgency
1 LEFT,scarcity
Office Supplies & Decor,none
 PG Picks: Skin Care for Incontinence ,none
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,social_proof
"Someone from Rochedale, Queensland, Australia started buying this!",social_proof
"An item you ordered is in high demand. No worries, we have prioritized your order.",scarcity
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,urgency
Log in / Create an account,none
Only 8 left in stock. Almost Gone!,scarcity
Only 4 items left – limited stock alert.,fake_scarcity
"To cancel subscription, send a physical letter to our headquarters.",obstruction
BE QUICK 00:57:33 DON'T MISS OUT,urgency
" is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",none
Flash Sale ends in SHOP NOW  ,urgency
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",misdirection
"No thanks, I don't want a free gift.",misdirection
01 Hours 37 Minutes 48 Seconds 1/10s,urgency
Unlock full access with a free trial. ,hidden_subscription
 Shop ,none
3 people are looking at this product,social_proof
Hurry Up! Only 1 Piece Left,scarcity
OH SO POPULAR! 21 bought in the last 7 days.,social_proof
Limited edition – only 3 pieces remain.,fake_scarcity
We guarantee to match a lower online price.,none
Swedish Hasbeens,none
Whey Protein Isolate,none
Baby Nursing & Feeding,none
"Jeremy in Stockton, United States purchased a",social_proof
 Coloured Pencils ,none
ONLY 5 LEFT IN STOCK,scarcity
Grab FLAT 8% OFF* on Buses,none
Security Cameras,none
"No thanks, I'm not interested in saving money.",misdirection
You left 2 items in your bag Released in: 29 minutes :07 seconds,urgency
Media Players,none
 SAF Warriors ,none
FAMILY SHADE PACK | PICK YOUR PACK,none
Flowers Trivia:,none
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,urgency
Add ₹1 to your ticket to support a child's education.(pre-selected),forced_continuity
Only 1 products left,scarcity
Only 2 left – selling fast!,fake_scarcity
 Latest looks from Myleene Klass Shop now ,none
Only 2 units left!,scarcity
" Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator. ",none
activate within 10:00,urgency
"Free 30 days, then ₹1499 automatically every month.",hidden_subscription
Act now and save $12.99. Limited time only!,urgency
2 customers recently bought it,social_proof
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",hidden_subscription
beautifully written prose,none
Only 8 items left in stock!,scarcity
ONLY AVAILABLE FOR A LIMITED TIME,urgency
Let's make sure you have everything else you need,misdirection
Only 1 in stock,scarcity
3 people bought this item last week.,social_proof
ONLY 1 LEFT!,scarcity
John Boos,none
 Military Discount ,none
50 fantastic deals,none
"No, I’m fine with ads.",confirmshaming
Trending now! Added to basket 490 times today,social_proof
 Worldwide ,none
Fashion Forward,none
LIMITED TIME OFFER!,urgency
"No thanks, I've got too much cool Glock stuff!",misdirection
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,social_proof
Limited stock – 1 left in this variant.,fake_scarcity
Join Zomato Gold to get FREE delivery on this order!,forced_continuity
"Your subscription starts, unless you've cancelled during the trial",forced_continuity
404 Orders,social_proof
Add items worth ₹78 more to get FREE delivery,fake_urgency
We don't give out your details to third parties.,none
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,none
 Irwin ,none
Light Works,none
6 other people looking at this item,social_proof
Sale ends soon:,urgency
Get PRO 70% OFF 13:59,fake_urgency
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",social_proof
NRA Firearms For Freedom,none
Hand & Foot Skin Care,none
New In ,none
 Lighting,none
Hurry up! Only 4 left in stock,scarcity
Only 1 item left,scarcity
 Send Us Your Jersey ,none
 MIN Twins ,none
Hurry! Only 1 Pair left!,scarcity
"No, I don't want a discount",misdirection
Only 3 Left,scarcity
Radio and GPS Pouches,none
0 DAYS22 HOURS13 MINUTES21 SECONDS,urgency
"No thanks, I like paying full price",misdirection
Only 7 left!,scarcity
Flat 12% off up to Rs. 1500 on your first domestic flight booking!,none
Bike Parts & Components,none
On Sale! Limited Time Offer!,urgency
Viewed 744 times today,social_proof
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,social_proof
Pre-order 3 left,scarcity
Hot Deal! 4 people are viewing this car right now,fake_scarcity
Only 4 left,scarcity
"No Thanks, I Prefer Paying Full Price",misdirection
 Summer Simple Breathable Socks ,none
Get Up to 15% OFF* on AirAsia Flights,none
"Only 1 left , In Stock",scarcity
 A-Z Luxury Brands ,none
Blue Raspberry,none
Subscription will extend automatically at the end of the period.,forced_continuity
Expires on 31 Mar,fake_urgency
"19,302 people have added this item to cart",social_proof
"By continuing, you agree to auto-renewal at the end of your billing cycle.",forced_continuity
Limited quantity remaining,scarcity
 Home / Black Tapered Belted Cigarette Trousers - Myasia ,none
"Crystal Li in Flushing, United States purchased a",social_proof
 Searching...,none
"No Thanks, I'd rather pay full price",misdirection
View All Bearings,none
Only 2 left in stock. Make it yours.,scarcity
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",misdirection
Mom & Baby,none
Select Your Year,none
10 Left in stock,scarcity
 Subscribe! Don’t be caught empty handed ,none
Activate within 0:30:00,urgency
Shop All Vape Kits,none
Women's Acid Wash Scoopneck Sweater,none
About UsNews & Articles,none
1 item left,scarcity
Hot new releases,none
LIMITED OFFER: $125 Off + 2 Free Pillows,urgency
Limited Time Offer,urgency
WAX Jeans,none
Shoes & Clothing,none
Valid only on orders above ₹999. Maximum discount ₹120.,none
Girls Trousers,none
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",urgency
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",social_proof
"To cancel, speak to retention specialist first.",obstruction
"Available, only 2 left",scarcity
 Unstitched Fabric ,none
Brand: Ray-Ban® | Similar products from Ray-Ban®,none
Only few items left in stock,scarcity
"NO THANKS, I DON’T MIND MISSING OUT",misdirection
Shotgun Bore Mops,none
Only 7 left in stock.,scarcity
Hair type: Curly,none
"Sign Up To Our Newsletter To Receive News, Offers And Promotions.",none
 Join NRA or Renew,none
Stay with us in India,none
 Mobile Terms of Use ,none
Free Shipping & Easy Returns always! ,none
"Happiness is to hold flowers in both hands. Furthermore, flowers make for an integral part of all occasions and celebrations........ Read More...",none
HomeFlowersColourful Mixed Roses Bouquet,none
No thanks! I don't like deals,misdirection
Platinum-Dipped Rose,none
deal selling fast,fake_urgency
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,urgency
"No thanks, I will pay full price.",misdirection
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",none
 Bar Stools,none
"No thanks, I don’t want to improve my experience.",confirmshaming
52 people have added this product to bag in the last 72 hours,social_proof
 Rs INR ,none
"Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!",none
COMBAT GEARHot,none
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,urgency
You have been enrolled in automatic delivery every 30 days.,hidden_subscription
"No, I don’t want priority support.",confirmshaming
Activate your free plan now.,hidden_subscription
"You may cancel or renew your membership to the VIP Program or find out more information about your VIP Program subscription, including your annual expiration date, by contacting support@grove.co.",obstruction
 Maker Faire News ,none
"No thanks, I'm not interested",misdirection
67% offers claimed. Hurry up!,scarcity
 First name * ,none
Synthesis E-MTB Carbon Wheelset,none
"If you wish to cancel a membership, please contact our Customer Services Department on UK: +44 808 164 8264 (standard local call charges will apply) or via email on customer.service@beautypie.com. You can also contact the Customer Services Department by post at: Beauty Pie Limited, Customer Service Department, The Point, 210 New Kings Road, London SW6 5NZ, United Kingdom. Please quote your order number in all correspondence.",obstruction
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",social_proof
93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,social_proof
7 sold in last 24 hours,social_proof
Barbour International,none
"N++ is all about using your momentum to complete levels and get high scores, but in this sci-fi world, there’s a slew of inadvertently homicidal enemy robots trying to prevent you from completing your goal.",none
ONLY 1 ITEM LEFT!,scarcity
I have not had my hair so soft and shiny in such a long time and my grey was completely covered! So incredibly happy.,none
Skip the free accessory? Click 'Continue without gift'.,confirmshaming
Accept non-essential cookies,hidden_subscription
EXTRA -30% OFF WITH CODE: EXTRA30 Ends in: 0 0 0 0 days 0 0 4 4 hours . 0 0 9 9 min . 2 2 8 8 sec,urgency
" To enable notifications, click 'Allow' when prompted. ",none
 Use a clean vase and clean water.,none
OFFER ENDS 00:54:59,urgency
"No thanks, I’d rather pay full price.",misdirection
Only 2 left!,scarcity
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",obstruction
Premium features active. Standard billing applies after trial.,hidden_subscription
Limited quantity available,scarcity
 shop by trend ,none
Recurring billing is enabled for your convenience.,forced_continuity
Only 9 left!,scarcity
 Riding Culture Neue Lifestyle-Marke bei motoin ,none
2 left,scarcity
EPIC Deals for You,none
Your order is reserved for 09:56 minutes!,urgency
Gifts By Price,none
 Moonstone Beads ,none
 Circa Punches ,none
Only 13 left!,scarcity
Daily Steal Deal Ends in 11h:34m:59s,fake_urgency
Enjoy VIP savings on domain names and related services,none
Hurry! Only Limited Items Left,scarcity
NEED ADDITIONAL HELP?,none
Wait! You forgot...,fake_urgency
Hurry only 8 items left!,scarcity
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,urgency
limited availability at this price!,scarcity
Only 5 Left,scarcity
Stay in the Know,none
RECENTLY VIEWED 2 others viewed this in the last few hours,social_proof
AI usage limits: High vs Higher,none
Only 3 Left!,scarcity
"14 days free, then ₹1999 annual auto-renewal.",hidden_subscription
"Save 25% on your entire order 09 Hours 57 Minutes 34Seconds use code: SPRING25""",urgency
Child Safety,none
Limited Time!,urgency
Enjoy Up to 15% instant discount* on Hotels,none
JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,none
BreakThrough,none
EPIC SAVINGS ON YOUR TRIPS,none
Deals for The Weekend,fake_urgency
1 left in stock. Hurry!,scarcity
Felizer Designer Diamond studded Round Dial Metal starp watch for Women & Girls - Silver (Heart design) Analog,none
"No thanks, I’d rather not win.",misdirection
 Learn More ,none
Only 5 left!,scarcity
Over 238 people have bought this product,social_proof
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,urgency
These pieces are not yet in stock but will be shipped as soon as they are available. The estimated ship date will be noted on the product page.,none
(Only 1 Left),scarcity
Jeanne E. Bray Memorial Scholarship,none
 E-Gift Cards ,none
Availability: Only 1 Left,scarcity
Need a Hand?,none
Corporate Responsibility Report,none
Cargo Trousers,none
"Alpha BRAIN® is a dietary supplement that helps support cognitive functions, including memory, mental speed, and focus.†",none
 Loyalty Points ,none
Going Fast: Limited Quantities Left!,scarcity
Grab up to 30% Instant Discount*,none
- +,none
"Trusted by over 3,000 institutions",fake_scarcity
6 items left! Order soon.,scarcity
3Days01:49:51 Left,urgency
Hair type: Wavy,none
Almost Sold Out! Only 2 Left.,scarcity
 New In,none
 Space Heaters & Workshop Heaters ,none
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,none
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,social_proof
 Men's Apparel Collection ,none
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!,none
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",social_proof
Only 1 left in stock,scarcity
get FLAT 12% OFF* on your first domestic flight booking,none
02 DAYS :23 HOURS :00 MINS :54 SECS,urgency
Sale Clothing,none
ON SALE AT $1.99 FOR A LIMITED TIME,urgency
 Books About Indian Culture ,none
"Howdy stranger, looks like your trail has hit a dead end.",none
Carnival Remotes,none
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,social_proof
"NO THANKS, I DON'T WANT TO SAVE",misdirection
Intercoms & Doorbells,none
LAST CHANCE TO ACTIVATE 10% OFF,scarcity
Case Material,none
"No thanks, I like full price",misdirection
Deal ends in 0:00:10 – hurry!,fake_urgency
"Join the 91% of learners who achieved a positive career outcome, like new job opportunities, increased knowledge, and improved performance at work.",none
Brand: NFL Pro Line by Fanatics Branded,none
BABY BOYSShoesClothingAccessories,none
 Read the FAQ ,none
 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. ,none
 Bob Ross Oil Brushes ,none
Sort by rating,none
 to read up about,none
Grab Up to 40% OFF*,none
. ,none
Tapestry Guide,none
Cancel via phone between 10-11 AM only on Tuesdays.,obstruction
"₹13,999 ₹7,999/year Unlimited learning—Now ₹7,999/year",fake_urgency
VIP OFFERS END 00:54:59,urgency
Skip the free gift? Proceed to checkout.,confirmshaming
Search Result:Search Results: ,none
 Base Layer & Thermals ,none
Call It Spring,none
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,urgency
 Paul Henry ,none
Your subscription will automatically renew unless canceled before the billing date.,forced_continuity
13 people have added this to their cart,social_proof
"Buy 3 items, save extra ₹100",none
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",hidden_subscription
"Yes, Secure my trip.",none
Shop all,none
Women's ApparelCollection ,none
 Frame out of stock in this colour,none
ONLY 1 ITEM LEFT,scarcity
227 Bought Already,social_proof
18 In Stock,scarcity
1 in Stock,scarcity
commonpandacom@commonpandacom,none
Yaris Remotes,none
3642 BOUGHT,social_proof
My Account ,none
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,urgency
New deals Every Hour,fake_urgency
"Both of these jerseys are awesome, I couldn’t have asked for better quality.",none
"Free month, then ₹499 monthly auto-debited.",hidden_subscription
1044 sold in past 12 months,social_proof
 EU Delivery & Returns ,none
61 people have already bought that product today with 50% discount,social_proof
Whoops! ,none
Sunwayfoto,none
"Only 3 left, order soon",scarcity
View return policy,none
"No thanks, I'll still want to pay full price",misdirection
02:06:40 left to buy,urgency
Download Now,none
Get Free Delivery on this order! Join Swiggy One.,forced_continuity
"No Thanks, I rather pay full price",misdirection
 Menstrual Products ,none
 Champagne Taittinger ,none
"NO, THANKS. I DON'T LIKE DISCOUNTS ",misdirection
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,social_proof
Free Shipping. Limited Time Only. for orders over $50,urgency
Power Button Covers,none
"Hurry, limited quantities left!",scarcity
7 people have it in their cart,social_proof
cookie host,none
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,urgency
All Cross Stitch Patterns,none
Be the first to get updates as well as access to exclusive offers and promotions,none
"₹2,099/month, cancel anytime",none
Golf Shop,none
Accessibly App features,none
Earn 100 goCash on Sign Up & Cashback on Bookings,none
  ,none
 Exclusive offers & discounts for club members via email ,none
I always order from them! Such good quality for the price you pay! Will always be back!,none
"No, I don't want a sweeter deal",confirmshaming
Wondering where to buy White Cloud products in the U.S.? Our distributor list is growing! Bookmark our list and stay tuned!,none
Point & Shoots,none
Trending Players,none
 Search Close ,none
Notion is 50% faster with the desktop app. Plus access app-exclusive features,none
Hair Grooming Appliances,none
"No thanks, I don't like exclusive offers",misdirection
"Save on One-way Bookings: FLAT ₹1,500 OFF*",none
Flash sale – 0:01:00 left on timer,fake_urgency
Value of Product,none
Synthesis XCT Alloy Front Wheel,none
Hurry Up ! Just 2 Items Left in stock,scarcity
AboutOur StoryOur MissionOur ProductsIn the News,none
Limited stock alert: 1 unit per customer only.,fake_scarcity
 Our Carbon Footprint ,none
"No thanks, I don't want to build one.. I'd rather kick rocks!",misdirection
Gift Wrapping Supplies,none
8 people have this in their bag right now.,social_proof
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",social_proof
Skip free shipping? Click 'Proceed without offer'.,confirmshaming
Only 1 left!,scarcity
"If your JR Plus membership has renewed automatically, you have seven (7) days after payment is taken to cancel your annual membership. You must contact Customer Service at (888) 574-3576 within this window and not have made any eligible purchase using the JR Plus service. You will then be provided with a full refund of your membership fee for the renewal year and the JR Plus service will be cancelled from your account. If you cancel during any renewal year after the seven (7) day window expires, you are not entitled to any refund of the renewal fee, even if you have not made any eligible purchase during the renewal term.",obstruction
8 customers have bought today,social_proof
 Rechargeable ,none
No payment today. Continue instantly.,hidden_subscription
Only 3 items left – limited stock remaining.,fake_scarcity
 Drive and Focus ,none
HAUTELOOK 04:53,urgency
Bob's Outreach ,none
Influencer Program,none
Imported,none
0011Days:0088Hours:4411Minutes:21125445Seconds,urgency
Fares are slightly higher due to high demand in your area.,none
Signup for email updates from Car and Truck Remotes!,none
ONLY 7 LEFT!,scarcity
 Take time to pay.,none
HOW TO MANAGE SIDE EFFECTS,none
offer ends in 15:00,fake_urgency
FRAMON #2 Code Machine Offer - Limited time offer!,urgency
Build your own powerful multi-vendor marketplace website,none
See all reviews,none
"Someone in Chambersburg, Pennsylvania purchased",social_proof
Recurring billing active – next charge ₹49 on Mar 30.,forced_continuity
Hurry! Only 7 left,scarcity
 Mixed Media ,none
Shop Men's Styles,none
You might also like,none
only 2 left!,scarcity
Browse products,none
10% instant discount,none
Explore categories,none
Your account will be charged ₹89/week automatically after trial.,hidden_subscription
Infrared Night Vision,none
2 people have looked at this in the last couple of hrs.,social_proof
only 1 in stock,scarcity
Purchase or cancel by phone,obstruction
Specialist Tools,none
Less than 10 left in stock,scarcity
"No thanks, I dont want a discount",misdirection
Shop Tops by Pattern,none
7 people looked at this product in the last 24 hours.,social_proof
Dhamaka Price Cash Ends in 00d:12h:08m:20s,fake_urgency
Ribbons,none
Vacation One Shoulder Loosen Long Sleeve Woven Dress,none
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,none
*Only 2 left in stock. Don't miss out!,scarcity
I already have this item. Do not add this to cart,misdirection
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,urgency
I'm willing to risk my trip,confirmshaming
Adjustable Cuffs With Inner Knitted Cuff,none
10% discount on car rental,none
Summer Steal Deals Ends in 01:00:59,fake_urgency
10 SEATS LEFT,scarcity
ONLY 20 LEFT IN STOCK,scarcity
 Synthesis Alloy Collection ,none
 Mixed Wine Cases ,none
 Comfy and looks great ,none
"No thanks, I’d rather pay more",misdirection
Earn FanCash on all purchases!,none
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,social_proof
Only 1 Item(s) left,scarcity
Cracked Nipples,none
